,Team Payroll,Season Wins
136,73558500.0,78
137,74277685.0,74
138,68904980.0,72
139,60909519.0,80
140,61892583.0,73
141,43067858.0,76
142,59355667.0,69
143,45050390.0,78
144,45227882.0,66
145,46867200.0,85
146,38031285.0,96
147,119241701.0,93
148,136652167.0,91
149,94916167.0,102
150,58178567.0,94
151,84735667.0,81
152,82534800.0,85
153,69274900.0,92
154,78430300.0,68
155,49190566.0,80
156,61203967.0,69
157,81579166.0,65
158,78970067.0,81
159,61673267.0,96
160,56031500.0,78
161,41502500.0,93
162,34569300.0,80
163,48584834.0,68
164,78909448.0,74
165,91974979.0,91
166,75880971.0,90
167,73531692.0,97
168,147433009.0,71
169,103328498.0,91
170,93309904.0,87
171,85645071.0,75
172,98261171.0,68
173,95832071.0,66
174,64278071.0,74
175,78069571.0,64
176,88148071.0,73
177,84227000.0,83
178,75201000.0,92
179,68655500.0,74
180,54424000.0,90
181,41233000.0,76
182,48155000.0,67
183,64590403.0,68
184,67179667.0,74
185,56851043.0,73
186,71068000.0,73
187,61111190.0,82
188,54367504.0,72
189,116478400.0,47
190,111286000.0,64
191,180250600.0,64
192,180855981.0,86
193,172282250.0,74
194,162228527.0,90
195,151420000.0,93
196,132300000.0,88
197,105700231.0,95
198,122864929.0,81
199,115085145.0,86
200,138685197.0,74
201,95180369.0,88
202,82612866.0,95
203,69092000.0,71
204,46353554.0,72
205,49168000.0,43
206,55048000.0,55
207,49831167.0,66
208,58265167.0,79
209,36954666.0,69
210,160774666.0,107
211,172038900.0,103
212,127443900.0,101
213,91893700.0,84
214,63564200.0,86
215,44544174.0,70
216,18825200.0,51
217,60651000.0,55
218,70694000.0,56
219,92355500.0,76
220,102996414.0,74
221,88930415.0,86
222,87759000.0,73
223,92551503.0,82
224,76779000.0,89
225,74666303.0,92
226,71040000.0,87
227,63448417.0,84
228,60382667.0,93
229,51289111.0,72
230,56389000.0,97
231,100658316.0,59
232,115483116.0,58
233,134425249.0,80
234,112620458.0,81
235,106164525.0,95
236,92034345.0,89
237,74821300.0,86
238,60916225.0,72
239,36126000.0,71
240,72267710.0,67
241,70519333.0,65
242,58245500.0,75
243,67116500.0,69
244,47294000.0,62
245,36881000.0,56
246,47609000.0,58
247,40518000.0,83
248,47257000.0,62
249,35643000.0,65
250,23433000.0,77
251,16557000.0,64
252,159378583.0,72
253,171248332.0,80
254,123549166.0,80
255,129251333.0,74
256,139449583.0,85
257,155692000.0,98
258,127896250.0,78
259,154485166.0,89
260,138543166.0,86
261,105013667.0,80
262,113709000.0,97
263,119216333.0,100
264,109251333.0,94
265,103472000.0,89
266,97725322.0,95
267,101084667.0,92
268,79031667.0,77
269,61721667.0,99
270,46568180.0,75
271,51464167.0,82
272,51340257.0,70
273,196729548.0,106
274,157496785.0,92
275,169394811.0,104
276,174330522.0,91
277,176985260.0,92
278,235295219.0,94
279,171050552.0,92
280,95143575.0,86
281,104188999.0,82
282,94945517.0,80
283,100414592.0,95
284,118536038.0,84
285,108454524.0,82
286,98447187.0,88
287,83039000.0,71
288,89694167.0,93
289,105872620.0,85
290,94850952.0,92
291,108980952.0,86
292,88124286.0,86
293,76607247.0,77
294,72449404.0,57
295,85843000.0,63
296,103106100.0,77
297,68564500.0,79
298,83986500.0,71
299,47565400.0,77
300,35857000.0,62
301,118078000.0,69
302,56944000.0,72
303,55641500.0,80
304,36834000.0,87
305,21836500.0,84
306,30507000.0,71
307,14998500.0,78
308,60408823.0,83
309,42118042.0,83
310,49050000.0,91
